항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
Fly Angola,플라이 앙골라,EQ,FLA,Active
Fly Armenia Airways,플라이 아르메니아,VF,FBB,Startup
Fly Baghdad,플라이 바그다드,IF,FBA,Active
"Fly Bai, S.L.",플라이 바이,,FBY,Grounded
Fly Blue Crane,플라이 블루크레인,7B,FBC,Grounded
Fly CamInter,플라이캠터,EF,,Grounded
Fly Ci Ltd,플라이 CI,,FCT,Grounded
Fly Europa Limited,플라이 유로파,,FEE,Grounded
"Fly European - European Aviation AiR Charter Limited, dba",유러피언항공 에어챠터,E7,EAF,Grounded
Fly Excellent AB,플라이 엑셀런트,F3,FXL,Grounded
Fly Gangwon,플라이강원,4V,FGW,Active
Fly Georgia,조지아 항공,9Y,FGE,Grounded
Fly Hellas,플라이 그리스,VQ,,Grounded
Fly Hellas ,바이킹 헬라스 에어라인,VQ,VKH,Grounded
Fly International Airways,플라이인터내셔널에어웨이,,NVJ,Grounded
Fly Jamaica Airways,플라이 자메이카,OJ,FJM,Grounded
Fly Jordan,플라이 요르단,,FJR,Active
Fly Kiss,플라이 키스,KT,,Grounded
Fly Kumba,플라이 쿰바,,FKZ,Grounded
Fly Line S.L.,플라이 라인,,FIL,Grounded
Fly Me Sweden AB,플라이미 스웨덴,SH,FLY,Grounded
Fly Mid Africa,플라이미드아프리카,8G,MFG,Active
Fly One,플라이 원,5F,FIA,Active
Fly2Sky,플라이투스카이,,VAW,Active
Fly540 ,플라이 파이브포티,5H,FFV,Active
Fly540 Angola,플라이 540 앙골라,F5,,Grounded
flyadeal,플라이 아자리야,F3,FAD,Active
Flyadjara,플라이 아자리야,,NOD,Grounded
flyafrica.com,짐바브웨 플라이아프리카,ZC,FZW,Grounded
Flybaboo Sa,플라이배부,F7,BBO,Grounded
Flybe,플라이비,BE,BEE,Grounded
flybig,플라이 빅,S9,,Active
Flybondi,플라이본디,FO,,Active
Flybondi,플라이본디,FO,FBZ,Active
FlyBosnia,플라이보스니아,6W,FBS,Active
flyCAA - Compagnie Africaine d'Aviation,플라이CAA,BU,8CA,Grounded
Flycana,플라이카나,DW,DWI,Startup
Flycolumbia,플라이콜롬비아,FD,FCE,Grounded
Flycom D.O.O.,플라이콤,,FLO,Grounded
FlyCongo,플라이 콩고,EO,ALX,Grounded
FlyDamas,플라이 다마스,4J,FDK,Active
Flydubai,플라이두바이,FZ,FDB,Active
FlyEgypt,플라이 이집트,FT,FEG,Active
Flyest,플라이스트,FQ,,Grounded
Flyest,플라이스트,FQ,,Grounded
Flygaktiebolaget Gota Vingar,고타 빈거,,GVG,Grounded
Flygcentrum I Stockholm Ab,플라이 센트럼 스톡홀롬,,FYC,Grounded
FlyGeorgia,플라이 조지아,9Y,FGE,Grounded
flyGlobal,플라이글로벌,FS,FGG,Active
Flygprestanda AB,플라이프레스탠다,,FPA,Grounded
flyGTA Airlines,플라이 GTA 항공,SX,TOR,Active
Flygtransporter I Nykoping Ab,뉘쇼핑 항공운송,2Q,ETS,Grounded
Flyguppdraget Backamo AB,박카모,,INU,Grounded
Flying Ambulance (Pty) Ltd T/A Aerocare,플라잉 앰블런스 (에어캐어),,SYD,Grounded
Flying Devil Sa,플라잉 데빌,,FYD,Grounded
Flying Group Luxembourg Sa,플라인 그룹 룩셈부르크,,FYL,Grounded
Flying Service,비행서비스,,FYG,Grounded
Flying-Research Aerogeophysical Center Ltd,플라잉-리서치 에어로지오피지컬 센터,,FGP,Grounded
Flyington Freights Limited,플라잉턴 프레이트,,FON,Grounded
Flyjet Ltd,플라이제트,Y7,FJE,Grounded
Flyjet Sp. Z.O.O.,플라이젯,,FYJ,Grounded
Flyjet.Kz,플라이젯 ,,FJK,Grounded
FlyLAL - Lithuanian Airlines,리튜아니아항공,TE,LIL,Grounded
Flylink Express S.A.,플라이링크 익스프레스,,FLK,Grounded
FlyMe,플라이 미,VP,VQI,Active
FlyMex,플라이 맥스,,NTG,Grounded
FlyMontserrat,플라이몬트세라트,5M,MNT,Active
Flynas,플라이나스,XY,KNE,Active
FlyNonstop,플라이 논스탑,J7,,Grounded
FlyPelican,플라이 펠리칸,FP,PEL,Grounded
FlyPelican,플라이 펠리칸,FP,,Active
flyPersia,플라이페르시아 항공,,FPI,Active
Flyr,플라이어,FS,FOX,Active
FlySafair,플라이사페어,FA,SFR,Active
FlySafair,플라이사페어,FA,,Active
Flyteam Aviation Ltd,플라이팀 에비에이션,,FTM,Grounded
FlyViking AS,플라이 바이킹AS,VF,,Grounded
flyvista,플라이비스타,GT,,Grounded
Flyways Linhas Aereas,플라이웨이항공,,FYW,Grounded
Flywell Airlines Private Limited t/a Zimbabwe Airlink,플라이웰 에어라인 프라이벳,YZ,,Grounded
Flywet.,플라이웻,,WET,Grounded
Fmg Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,FMG 교통관제스쿨,,FMG,Grounded
FMI Air,FMI 에어,ND,FMI,Grounded
Fna,Fna,,FNB,Grounded
Fokker Flight Operations,포커 플라이트 오퍼레이션,,FOP,Grounded
Fonnafly Sjo As,푀나플라이 SJO,,NOF,Grounded
Force Aerienne Francaise,프랑스공군,,FAF,Grounded
Forces Aeriennes Algeriennes,포치스 에어리엔느 알제리엔스,,KJD,Grounded
Ford Motor Company,포드자동차,,FRD,Grounded
Formula One Management Limited,포뮬라 원 매니지먼트,,FOR,Grounded
Fortunair Canada,포튜네어 캐나다,,FXC,Grounded
Fortune Air,포춘에어,,FOA,Active
Forty Eight Aviation Co. Ltd,408 에비에이션,,WHB,Grounded
Forward Air International Airlines,포워드 에어 인터내셔널 에어라인,BN,,Grounded
Foster Aviation,포스터 에비에이션,,FSA,Grounded
Foster Yeoman Ltd.,포스터 야오만,,JFY,Grounded
"Fotografia F3 , S.A.",포토그라피아 F3,,FTE,Grounded
Four Star Aviation DBA Four Star Cargo,포스타 에비에이션 - 포스타카고,HK,FSC,Grounded
Four Winds Aviation Ltd.,포윈드 에비에이션,,WDS,Grounded
Foxair,폭스에어,,FXR,Grounded
Foxair Gmbh,폭스에어,,FUP,Grounded
Fr Aviation Ltd,FR 에비에이션,,FRA,Grounded
France Douanes,프랑스 뒤앵즈,,FDO,Grounded
France Marine Nationale,프랑스 머린내셔널,,FNY,Grounded
Freeair Helicopters S.Pa,프리에어 헬리콥터,,FRH,Active
Freebird Airlines,프리버드 항공,FH,FHY,Active
Freedom Air,프리덤 에어,,FRI,Grounded
Freedom Air,프리덤 에어,DJ,FOM,Grounded
Freedom Air Express,프리덤 에어 익스프레스,4F,FDT,Active
Freedom Air Services Ltd,프리덤에어서비스,,FFF,Grounded
Freedom Airlines,프리덤 에어라인,F8,FDM,Grounded
Freedom Airlines,프리덤 에어라인,,FRL,Grounded
Freedom Airways Ltd,프리덤 에어웨이,,FAS,Grounded
Freeway Air B.V.,프리웨이 에어 B.V.,,FWC,Grounded
Freight Runners Express,프라이터러너 익스프레스,,FRG,Active
French Bee,프랑스 비,BF,FBU,Active
Fresh Air Ltd,프레쉬에어,,FRR,Grounded
Freshaer,프레샤어,,FAE,Grounded
Friendship Air Alaska,프렌쉽 에어 알래스카,,FAL,Grounded
Friendship Airlines Ltd,프렌쉽항공,,FLF,Grounded
Friendship Airways,"프렌쉽 에어웨이 (포트로더데일, Fl)",,EMJ,Grounded
Froggy Corporate Aviation,프로기 코퍼레이션,,FGY,Grounded
Frontier Airlines,프론티어항공,F9,FFT,Active
"Frontier Commuter (Itr Airlines, Inc)",프론티어 커뮤터 (Itr 에어라인),,ITR,Grounded
Frontier Flying Service,프론티어 플라잉 서비스,2F,FTA,Grounded
"Frontier Guard, Finland",프론티어가드 핀란드,,FNG,Grounded
Fsb Flugservice & Development Gmbh,FSB F&D,,FSB,Grounded
FSH Luftfahrtunternehmen,FSH 항공엔터프라이즈,,LEJ,Grounded
Fuerza Aerea Argentina,아르헨티나,,FAG,Grounded
Fuerza Aerea Del Peru,푸에르자 에어델페루,,FPR,Grounded
Fuerza Aerea Mexicana,푸에르짜 아레아 멕시카나,,FAM,Grounded
Fujairah Aviation Centre,푸자이라항공센터,,FUJ,Grounded
Fuji Dream Airlines,후지 드림,JH,FDA,Active
Full Express,풀 익스프레스,,GAX,Grounded
Fumicar ,푸미카,,FUC,Grounded
"Fumigacion Aerea Andaluza , S.A.",푸미가시용 아레아 안달루자,,FMA,Grounded
Fumisol ,푸미솔,,FUS,Grounded
Fun Flying Thai Air Service,펀플라잉타이항공서비스,,FFY,Grounded
Fundacion Rego,푼다시옹 레고,,ROG,Grounded
Funtshi Aviation Service,푼치항공서비스,,FUN,Grounded
Fuzhou Airlines,복주 항공,FU,FZA,Active
G & L Aviation,G & L 항공,,GML,Grounded
G5 Executive Ag,G5 이그제큐티브 Ag,,EXH,Grounded
Gabon Airlines,가봉항공,GY,GBK,Grounded
Gabon Airlines Cargo,가봉화물항공,6G,GBC,Grounded
Gabon Airlines Cargo,가봉항공카고,,GBC,Grounded
Gabon Express,가봉익스프레스,,GBE,Grounded
Gabon-Air-Transport,가봉에어트랜스포트,,GRT,Grounded
Gacela Air Cargo,가셀라 에어 카고,,GIG,Grounded
Gadair European Airlines,가데어,GP,GDR,Grounded
Gail Force Express,게일포스 익스프레스,,GFC,Grounded
Gainjet Aviation,게인젯항공,,GNJ,Active
Galair International Limited,갈에어 인터내셔널,,SWF,Grounded
Galaircervis,갈에어서비스,,GLS,Grounded
Galena Air Service,가레나 에어서비스,,GAS,Grounded
Galex-Guinee ,갈레스 기니,,GIX,Grounded
Galeyr Airline,갈레어 항공,G2,,Active
Gals Kz,갈즈 카자흐스탄,,GLK,Grounded
Gama Aviation Ltd,감마 에비에이션,,GMA,Grounded
Gama Aviation Plc,감마 에비에이션,,GSH,Active
Ga-Ma Helicoptere,Ga-Ma 헬리콥터,,GAH,Grounded
Gambia Bird,감비아 버드,3G,GMQ,Grounded
Gambia Bird,감비아 버드,3G,GBQ,Grounded
Gambia International Airlines Ltd,감비아국제항공,GC,GNR,Grounded
"Gamisa Aviacion, S.L.",가미사 아비악시옹,,GMJ,Grounded
Garden State Airlines,가든스테이트 에어라인,,GSA,Grounded
Garrison Aviation Ltd.,개리슨에비에이션,,AHM,Grounded
Garuda Indonesia Airways,가루다인도네시아 항공,GA,GIA,Active
Gatari Air Service,가타리에어서비스,,GHS,Grounded
Gatsa General De Aerotransporte,Gatsa 제너럴 데 아에로트랜스포트,,GGS,Grounded
Gauteng Air Cargo Cc,하우텡에어카고,,EGO,Grounded
Gavina,가비나,,GVN,Grounded
Gazpromavia,가즈프로모비아,4G,GZP,Grounded
GB AirLink,GB 에어링크,,GBX,Grounded
Gb Airways Ltd,GB 에어웨이,GT,GBL,Grounded
GCA Air,GCA 항공,9A,,Active
Gcs Air Service,Gcs 에어서비스,,GCS,Active
GEASA,적도기니 항공,,GEA,Grounded
Gec Marconi Avionics Ltd,제너랄 마르코니 아비오닉스,,FFU,Grounded
"Gemini Air Cargo, Inc.",제미니 에어 카고,GR,GCO,Grounded
Gendarmerie Nationale,장다메리 내시오날,,FGN,Grounded
General Aviation Flying Services,제너럴 에비에이션 비행서비스,,GTH,Grounded
General Aviation Sp. Z.O.O.,제너럴 에비에이션,,GNZ,Grounded
General Electric Capital Aviation Services,제너럴일렉트릭 캐피탈 항공서비스,,GCC,Grounded
General Motors Corporation,제너럴 모터스 코퍼레이션,,GMC,Grounded
Genex,제넥스,,GNX,Grounded
Genghis Khan Airlines,징기스칸항공,9D,NMG,Active
GENSA,겐사,,GEN,Grounded
Geographic Air Surveys Ltd.,지오그래픽 에어 서베이.,,GSL,Grounded
Georgian Airways,그루지아항공,A9,TGZ,Active
Georgian Aviation Federation,그루지아연방항공,,FGA,Grounded
Georgian Aviation University,조지안 항공 대학,,AUG,Grounded
Georgian Cargo Airlines Africa S.A.,조지안카고항공,,GGF,Grounded
Georgian International Airlines LTD ,조지아 국제항공,4L,GNN,Grounded
Georgian National Airlines,그루지아국영항공,QB,GFG,Grounded
Georgian Star International,조지안 스타 인터네셔날,,GST,Grounded
German Air Force,독일공군,,GAF,Grounded
German Airways,독일항공,,GER,Active
German Army,독일육군,,GAM,Grounded
German Navy,독일해군,,GNY,Grounded
German Navy Pollution Patrol,게르만 네이비 폴루션 페트롤,,PCT,Grounded
German Sky Airlines ,저먼 스카이 에어라인,,GHY,Grounded
Germania,게르마니아 항공,ST,GMI,Grounded
Germania,게르마니아 항공,ST,,Grounded
Germanwings,저먼윙즈,4U,GWI,Grounded
"Gerry'S Dnata, M/S",제리스드나타,,GDN,Grounded
Gesellschaft Fur Flugzieldarstellung Mbh,항공타겟대표조합,,GFD,Grounded
Gestair Executive Jet,게스트에어 이그제큐티브 제트,,GES,Grounded
Gestair S.A.,제스타,G5,GTR,Grounded
"Gestion Aerea Ajecutiva, S.L.",제스티옹 아에레아 아제큐티바,8G,GJT,Grounded
GetJet Airlines,가제트항공,GW,GJT,Grounded
GetJet Airlines,겟젯 항공,GW,GJT,Active
GETRA,GETRA 항공,,GET,Grounded
GFW Aviation,GFW 항공,,GFW,Grounded
Ghadames Air Transport,가다메스에어트랜스포트,,GHT,Grounded
Ghana Airforce,가나 공군,,GHF,Grounded
Ghana Airways Corporation,가나항공,GH,GHA,Grounded
Ghana International Airlines Limited,가나국제항공,G0,GHB,Grounded
Gibson Aviation,깁슨 에비에이션,,NTC,Grounded
Gio D O.O.,지오,,GIO,Grounded
Gira Globo Lda.,자이라글로보,,GGL,Grounded
Global Africa Aviation,글로벌 아프리카 에비에이션,Z5,GAA,Active
Global Africa Aviation,글로벌 아프리카 에비에이션,Z5,,Active
Global Air,글로벌 에어,,DMJ,Active
Global Air,글로벌 에어,,GGB,Grounded
Global Air Charter,글로벌 에어챠터,,RPS,Grounded
"Global Air Operations Pty, Ltd",글로벌에어오퍼레이션,,GAG,Grounded
Global Air Services Nigeria Ltd,나이지리아 글로벌에어서비스,,GBS,Grounded
Global Air Transport,글로벌 항공,5S,GAK,Active
Global Aircargo Co.,글로벌에어카고,,GLC,Grounded
Global Airways,글로벌에어웨이,,BSP,Grounded
Global Aviation Operations,글로벌에비에이션,GE,GBB,Active
Global Jet,글로벌 젯,,GBG,Grounded
Global Jet Austria Gmbh,글로벌 제트오스트리아,,GLJ,Grounded
Global Jet Corporation,글로벌 제트 코퍼레이션,,NSM,Grounded
Global Jet Luxembourg,글로벌 제트 뤽상부르,,SVW,Grounded
Global Sky Aircharter Corporation,글로벌 스카이 에어챠터 코퍼레이션,,GSK,Grounded
Global Supply Systems Ltd,글로벌 서플라이 시스템,XH,GSS,Grounded
Global Systems,글로벌 시스템,,XGS,Grounded
Global Weather Dynamics,글로벌 웨더다이나믹스,,XGW,Grounded
Globe Jet S.A.L.,글로브제트,,GJA,Grounded
Globeair Ag,글로브에어,,GAC,Grounded
Globus,글로버스,GH,GLP,Grounded
Globus LLC,글로버스,GB,,Active
GMG Airlines,GMG 항공,Z5,,Grounded
GMG Airlines Ltd.,GMG 항공,Z5,GMG,Grounded
Go First,고 퍼스트,G8,GOW,Active
Go Fly Limited,고 플라이,GO,GOE,Grounded
Go One Airways,고원 에어웨이,GK,,Active
Go2Sky,고투스카이,6G,RLX,Active
Gobierno De La Republica De Guinea Ecuatorial,고베에르노기니,,GGE,Grounded
Gof-Air,고프-에어,,GOF,Grounded
Gofir S.A.,고피르,,GOI,Grounded
Gojet Airlines,고제트 항공사,G7,GJS,Grounded
GOL Intelligent Airlines,골 항공,G3,GLO,Active
Goldeck-Flug Ges.M.B.H.,골드히팅 종합항공,,GDK,Grounded
Golden Air Flyg AB,골든에어플라이,DC,GAO,Grounded
Golden Airlines,골든 에어라인,,GDD,Grounded
Golden Aviation De Mexico,멕시코골든항공,,GMX,Grounded
Golden Eagle Air Services Ltd. (FAA),골든 이글 에어서비스 (FAA),,SAJ,Grounded
Golden Myanmar Airlines Public,골든 미얀마 에어라인,Y5,GMR,Active
Golden Rule Airlines,골든룰 항공,,GRS,Grounded
Golden Star Air Cargo Co. Ltd,골든스타에어카고,,GLD,Grounded
Goldfields Air Services,골드필드항공서비스,,GOS,Grounded
Goliaf Air,골리아프에어,,GLE,Grounded
Gomel Airlines,고멜 항공,,GOM,Grounded
Goodridge (Uk) Ltd,굿리지 (영국),,RDR,Grounded
Gorlitsa Airlines,고를릿차 항공,,GOR,Grounded
"Gouvernement Du Quebec, Service Aerien Gouvernemental",퀘벡주정부 항공서비스,,QUE,Grounded
Government Of Zambia Communications Flight (Aircraft),잠비아정부통신비행(항공기),,GRZ,Grounded
Gp Express Airlines,Gp 익스프레스 에어라인,,GPE,Grounded
Gpm Aeroservicio,Gpm 아에로서비시오,,GPR,Grounded
GR Avia,GR 아비아,,GIB,Grounded
Grace Flight Of America ,그레이스 플라이트 오브 아메리카,,GRC,Grounded
Grafair,그라페어,,GFM,Grounded
Grampian Flight Centre Ltd,그램피언플라이트센터,,HLD,Grounded
Granada Aviacion,그라나다 항공,,GAV,Grounded
Grand Aire Express,그란데 아이레 익스프레스,,GAE,Grounded
Grand Airways,그랜드 에어웨이,,GND,Grounded
Grand Canyon Airlines,그랜드캐년 항공,,CVU,Active
Grand China Air ,그랜드 차이나 에어,CN,GDC,Active
Grand Cru Airlines,그랜드 크루 항공사,,GCA,Active
Grand Holdings Champion Air,그랜드 홀딩 챔피언 에어,MG,CCP,Grounded
Grandstar Cargo,그랜드스타항공화물,GD,GSC,Grounded
Grant Aviation,그랜트 항공,GV,GUN,Active
Grant Aviation,그랜트 항공,GV,SWV,Grounded
Grantex Aviation,그란텍스 에비에이션,,LMK,Grounded
Great American Airways,그레이트 아메리칸 에어웨이,,GRA,Grounded
"Great Circle Aviation, Llc ",그레이트서클 에비에이션,,SXZ,Grounded
Great Dane Airlines,그레이트 데인 항공,,GDE,Active
Great Lakes Airlines,그레이트 레이크 에어라인,ZK,GLA,Grounded
Great Lakes Airways (U) Ltd,그레이트레이크에어웨이,,GLU,Grounded
Great Wall Airlines,만리장성항공,IJ,GWL,Grounded
Great Western Air,그레이트 웨스턴 에어,,GWA,Grounded
Greek Navy (Hellenic Navy),그리스해군,,HNA,Grounded
Green Africa,그린아프리카항공,Q9,GWG,Grounded
Green Africa,그린아프리카항공,Q9,,Startup
Green Flag,그린플래그항공,,GNF,Active
Griffin Aviation (Cyprus) Limited,그리핀 항공 사이프러스,,GFF,Grounded
Grixona,그릭소나,,GXA,Grounded
Grodno Aviakompania,그로드노 아비아콤파니아,,GRX,Grounded
Grossmann Air Service,그로스만 에어서비스,,HTG,Grounded
Grossmann Jet Service,그로스만 제트 서비스,,GSJ,Grounded
Ground Handling Control Center Llc,그라운드 핸들링 컨트롤 센터,,VGH,Grounded
Ground Handling Service de Mexico,멕시코 지상조업서비스,,GHV,Grounded
Group One DBA Texas Air Charters,그룹원 - 텍사스에어챠터,,TXT,Grounded
Grozny Avia,그로즈니아비아,,GOZ,Grounded
Grup Air-Med S.A.,에어-메드 그룹,,GPM,Grounded
Grupo Aeronautico Afa.,그루포 에어로노티코,,GFV,Grounded
Grupo De Aviacion Ejecutiva,그룹포 데 아비악시옹 이제큐티바,,EJC,Grounded
Grupo Integracion Comercializacion Y Servicios.,그루포 인터그레이션 커머샬리제이션,,GID,Grounded
"Grupo One Air Aviacion, S.L.",그룹 원 에어 에비에이션,,OAR,Grounded
Grupo Vuelos Mediterraneo,뷰엘로스 메디테라노 그룹,,VMM,Grounded
Gryphon Airline ,그뤼폰 에어,Y3,VOS,Startup
Gryphon Airlines,그뤼폰 에어,,GRF,Active
GS Aviation (Gambia) Limited,GS 에비에이션,,GSG,Grounded
GST Aero Aircompany,GST 에어로 에어컴파니,,BMK,Grounded
Gta Air,Gta 에어,,GTX,Grounded
Guangxi Beibu Gulf Airlines,광시 베이부 걸프 항공,GX,CBG,Active
Guard Systems Asa,가드시스템 Asa,,GSY,Grounded
"Guardian Flight, Inc.",가디언 플라이트,GQ,,Active
Guicango,귀양고,,NCL,Grounded
Guine Bissau Airlines,기니비사우 항공,,BSR,Grounded
Guinea Air Cargo,기니에어카고,,GJH,Active
Guinea Airlines,기니 에어라인,,W24,Active
Guinea Cargo,기니화물,,GNC,Grounded
Guinee Paramount Airlines S.A.,기니파라마운트항공,,GIQ,Grounded
Guja,구자,,GUS,Grounded
Gujarat Airways,구자라트 에어웨이,,GUJ,Grounded
Gulf & Caribbean Air,걸프 카라비안카고,IF,TSU,Active
Gulf Air,걸프항공,GF,GFA,Active
Gulf Air Bahrain B.S.C.,걸프에어바레인,,GBA,Grounded
Gulf Air Inc.,걸프 에어 인코퍼레이션,,GAT,Grounded
Gulf Central Airlines,걸프센트랄에어라인,,GCN,Grounded
Gulf Coast Airways Inc,걸프 코스트 에어웨이,5B,,Active
Gulf Flite Center,걸프 플라이트 센터,,SFY,Grounded
Gulf Pearl Air Lines,걸프펄에어라인,,GPC,Grounded
Gulf Wing Aviation Ltd,걸프 윙 항공,,GWH,Grounded
Gulf Wings,걸트 윙,,GWC,Grounded
Gulfstream Aerospace,걸프스트림 에어로스페이스,,GLF,Grounded
Gulfstream Airlines,걸프스트림 에어라인,,GFS,Grounded
Gull Air,걸 에어,,GUL,Grounded
Gum Air,껌에어,,GUM,Grounded
Guneydogu Havacilik Isletmesi Ltd Std,구네이도구 하바즐릭 이슬레마시,,GDH,Grounded
Gwyn Aviation,그윈 에비에이션,,GWN,Grounded
H.S. Aviation,H.S.항공,HP,HSN,Grounded
Ha Wei Air Gmbh,하 웨이 에어,,HWG,Grounded
Hadison Aviation,하디슨 에비에이션,,FMS,Grounded
Hageland Aviation Services,헤이즐랜드 항공서비스,H6,HAG,Grounded
Hagondale Limited,해건데일,,POW,Grounded
Hahn Air,한에어,HR,HHN,Active
Hahn Air Systems,한 에어시스템,H1,,Grounded
Hai Au Aviation,하이 어우 항공,,HAI,Grounded
Hainan Airlines,중국 하이난 항공,HU,CHH,Active
Haiti Air Freight,아이티 에어프레이트,,HLS,Grounded
Haiti Ambassador Airlines,아이티 앰배세더 에어라인,,HAM,Grounded
Haiti Aviation,아이티 항공,H5,HAD,Active
Haiti International Air S.A.,아이티 인터내셔널 에어,,HTI,Grounded
Haiti International Airline,하이티 인터내셔널 에어라인,,HRB,Grounded
Haiti National Airlines (HANA),HANA - 아이티 내셔널 에어라인,,HNR,Grounded
Haiti North Airline,아이티 노스에어라인,,HTN,Grounded
Haiti Trans Air S.A.,아이티 트랜스에어,,HTC,Grounded
Haitian Aviation Line S.A.,하이티 에비에이션 라인,,HBC,Grounded
Hajvairy Airlines,하즈바이리항공,,HAJ,Grounded
Hak Air Limited,하크에어,,HKL,Grounded
Hala Air Co.,할라에어,,HLH,Grounded
Halcyon Air Bissau,핼사이온 에어비사우,,HCN,Grounded
Halcyon Air Cabo Verde,헬시온 에어 카보베르데,,HCV,Grounded
Hamburg Airways,함부르크 에어웨이,QY,BCS,Grounded
Hamburg Airways Gmbh,함부르크 에어웨이,HK,HAY,Grounded
Hamburg International,함부르크 국제항공,4R,,Grounded
Hamburg International Luftverkehrsgesellschaft Mbh Ig,함부르크 국제항공운송산업주식회사,4R,HHI,Grounded
Hamlin Jet Ltd,햄린 제트,,HJL,Grounded
Hamra Air,하므라에어,,HMM,Grounded
Hamsal Air Services Limited,햄살 에어 서비스,,HML,Grounded
Hand D Aviation,핸드 D 에비에이션,,WVA,Grounded
Hangar 8 Ltd,행거 8,,HGR,Grounded
Hangzhou YTO Express Airlines,항저우 YTO 익스프레스 항공,YG,HYT,Active
Hanseflug Gmbh,한스플루,,HFL,Grounded
Hapag Lloyd Express Gmbh,하파크 로이드 익스프레스,X3,HLX,Active
Hapag-Lloyd Executive,하파크 로이드 익제큐티브,,EXC,Grounded
Happy Air,해피 에어,,HPY,Grounded
Happy Landings (Flight Training),해피 렌딩,,IQP,Grounded
Harbor Airlines,하버 에어라인,,HAR,Grounded
Harbour Air,아버에어수상비행기,YB,,Grounded
Harbour Air,아버에어수상비행기,YB,,Active
Harbour Air(MALTA) LTD,하버 에어 (말타),H3,HES,Grounded
Harmony Airways - HMY Airways dba,하모니 에어웨이 - HMY 에어웨이,HQ,HMY,Grounded
Haughey Air Ltd,호기 에어,,NBR,Grounded
Haverfordwest Air Charter Services,헤버포드웨스트 에어챠터,,PYN,Grounded
Havilah Air Services,하빌랴항공서비스,,HAV,Grounded
Hawaiian Airlines,하와이안항공,HA,HAL,Active
Hawk Air S.A.,호크에어,,HKR,Grounded
Hawk de Mexico,호크드멕시코,,HMX,Grounded
Hawkair Aviation,호크에어,BH,,Grounded
Hawkair Aviation Services Ltd.,호크에어 항공서비스.,BH,BHA,Active
Hawkins & Powers Aviation,호킨스 에어 & 파워 에비에이션,,H2P,Grounded
Hawkrise Air Services Ltd,호크라이즈 에어 서비스,,HWK,Grounded
Hazelton Airlines Ltd,하젤톤에어라인,ZL,HZL,Grounded
Hc Airways JSC,HC 에어웨이즈,,HCW,Grounded
Hc Airways LTD,HC 에어웨이즈,,HLA,Grounded
HD Air Ltd,HD 에어,,RPX,Grounded
Heavy Airlift Wing,헤비 에어리프트 윙,,BRK,Grounded
Heavy Lift Congo,헤비리프트 콩고,,HCO,Grounded
Heavylift Cargo Airlines Pty. Ltd,헤비리프트카고에어라인,HN,HVY,Grounded
HeavyLift International Airlines dba Heavy Lift,헤리리프트 인터내셔널,HC,HVL,Grounded
Hebei Airlines,허베이 에어라인 (하북 항공),NS,HBH,Active
Hebridean Air Services,헤브리디언 에어 서비스,,HBR,Active
Helenair (Barbados),헬레네어 바베이도스,,HCB,Grounded
Helenair Corporation Limited,헬렌에어 코퍼레이션,,HCL,Grounded
Helenia Helicopter Service Aps,헬레니아 헬리콥터 서비스 Aps,,HHP,Grounded
Heli Air Monaco,모나코 항공 헬리콥터,YO,,Active
Heli Air Services,헬리 에어서비스,,HLR,Grounded
Heli Ambulance Team Gmbh & Co Kg,헬리 앰뷸런스 팀,,ALJ,Grounded
Heli Bernina Ag,헬리버니나,,HEB,Grounded
Heli France,헬리프랑스,8H,HFR,Grounded
Heli Holland Offshore B.V.,헬리 홀랜드 오프쇼어,,FNI,Grounded
Heli Hungary Ltd,헬리헝가리,,HYH,Grounded
Heli Inter SA,헬리 인터 SA,,HIN,Grounded
Heli Midwest De Mexico,멕시코 헬리 미스웨스트,,HLM,Grounded
Heli Securite,헬리 세큐리테,H4,HLI,Grounded
Heli Trip,헬리 트립,,HTP,Grounded
Heli Union Heli Prestations,헬리 유니온 헬리 프레스태시옹,,HLU,Grounded
Heli-Air-Monaco,헬리-에어-모나코,YO,MCM,Grounded
Heli-Alpf-S Sa,헬리 알프스,,HIL,Grounded
Heliamerica De Mexico,헬리아메리카 멕시코,,HMC,Grounded
Heliaviation Limited,헬리에비에이션,,CDY,Grounded
"Heliavia-Transporte Aereo, Lda",헬리아비아-트랜스포트 아에로,,HEA,Grounded
"Helibravo Aviacao, Lda.",헬리브라보 아비아카오,,HIB,Grounded
Helicap,헬리캡,,HLC,Grounded
Helicocean,헬리코션,,OCE,Grounded
Helicol,헬리콜,,HEL,Grounded
Helicopter,헬리콥터,,HCP,Grounded
Helicopter & Aviation Services Ltd,헬리콥터 & 에비에이션 서비스,,JKY,Grounded
Helicopter Services Ltd  (V21 Ltd T/A),V21 - 헬리콥터 서비스,,TOA,Grounded
Helicopter Training & Hire Ltd,헬리콥터 트레이닝 & 하이어,,MVK,Grounded
Helicopter World,헬리콥터 월드,,HWH,Grounded
Helicopteros Aero Personal,헬리콥토스 아에로 퍼소날,,HAP,Grounded
Helicopteros Agroforestal Ltda.,헬리콥토스 아그로포레스탈라,,HAA,Grounded
"Helicopteros De Cataluna , S.A.",카탈루니아 헬리콥터,,HDC,Grounded
Helicopteros De Guatemala,헬리콥터 드 과테말라,,HCG,Grounded
