항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
Air Europa Lineas Aereas,에어 유로파 항공,UX,AEA,Active,Full Service Carrier,Spain,Western Europe,,
Air Excel (Tanzania),에어엑셀,,XLL,Active,Charter,Tanzania,Eastern Africa,,
Air Express Algeria,에어 익스프레스 알제리,,,Active,Charter,Algeria,North Africa,,
Air Falcon,에어팔콘,,,Active,Cargo,Pakistan,South Asia,,
Air Finland,에어핀란드,OF,,Grounded,Low Cost Carrier,Finland,Western Europe,,
Air Flamenco,에어플라맹고,F4,WAF,Active,Regional/Commuter,Puerto Rico,North America,,
Air France,에어프랑스,AF,AFR,Active,Full Service Carrier,France,Western Europe,,
Air Georgia,에어 조지아,,,Startup,Low Cost Carrier,Georgia,Eastern/Central Europe,,
Air Georgian,에어 조지안,ZX,GGN,Grounded,Regional/Commuter,Canada,North America,,
Air Ghana,에어가나,,GHN,Active,Charter,Ghana,Central/Western Africa,,
Air Go,에어고,,AGY,Grounded,,Egypt,North Africa,,
Air Greenland,에어그린란드,GL,GRL,Active,Regional/Commuter,Greenland,Western Europe,,
Air Guilin,에어 구이린,GT,CGH,Active,Low Cost Carrier,China,North East Asia,,
Air Guinea-Bissau,에어 기니 비사우,,,Startup,Full Service Carrier,Guinea-Bissau,Central/Western Africa,,
Air Guinee Express,에어기니익스프레스,,,Grounded,Regional/Commuter,Guinea,Central/Western Africa,,
Air Guinee International,에어 기니 인터내셔널,,,Failed startup,Full Service Carrier,Guinea,Central/Western Africa,,
Air Guyane Express,에어 기아나 익스프레스,,,Active,Full Service Carrier,French Guiana,Upper South America,,
Air Hawaii Cargo,에어 하와이 카고,,,Active,Cargo,United States of America,North America,,
Air Hong Kong,에어홍콩,LD,AHK,Active,Cargo,Hong Kong,North East Asia,,
Air Horizont,에어호라이즌,HT,HAT,Active,Charter,Spain,Western Europe,,
Air Iceland Connect,에어 아이슬란드 커넥트,NY,FXI,Active,Regional/Commuter,Iceland,Western Europe,,
Air Incheon,에어 인천,KJ,AIH,Active,Cargo,South Korea,North East Asia,,
Air India,인도항공,AI,AIC,Active,Full Service Carrier,India,South Asia,,
Air India Cargo,인도 카고,,,Active,Cargo,India,South Asia,,
Air India Express,에어인디아익스프레스,IX,AXB,Active,Low Cost Carrier,India,South Asia,,
Air India Regional,에어 인디아 지역,,LLR,Active,Regional/Commuter,India,South Asia,,
Air Indus,에어 인더스,I6,MPK,Active,Full Service Carrier,Pakistan,South Asia,,
Air Inuit,에어 인뉴이트,3H,AIE,Active,Regional/Commuter,Canada,North America,,
Air Italy,에어 이탤리,IG,ISS,Grounded,Full Service Carrier,Italy,Western Europe,,
Air Iveria,에어 이베리아,VU,VUN,Grounded,Full Service Carrier,Cote d'Ivoire,Central/Western Africa,,
Air Jamaica,에어자메이카 ,JM,AJM,Grounded,Full Service Carrier,Jamaica,Caribbean,,
Air Japan,에어저펜,NQ,AJX,Active,Charter,Japan,North East Asia,,
Air Juan,에어후한,AO,,Active,Charter,Philippines,South East Asia,,
Air Kasai,에어 카사이,,,Grounded,Charter,Democratic Republic of the Congo,Central/Western Africa,,
Air Katanga,에어 카탕가,,,Active,Charter,Democratic Republic of the Congo,Central/Western Africa,,
Air KBZ,에어 KBZ,K7,KBZ,Active,Regional/Commuter,Myanmar,South East Asia,,
Air Kerala,에어 케랄라,,,Startup,Low Cost Carrier,India,South Asia,,
Air Kiribati,키리바시,IK,AKL,Active,Regional/Commuter,Kiribati,Southwest Pacific,,
Air Koryo,고려항공,JS,KOR,Active,Regional/Commuter,North Korea,North East Asia,,
Air Kufra,에어쿠프라,,,Grounded,Charter,Libya,North Africa,,
Air Kyrgyzstan,에어 키르키스탄,,LYN,Grounded,Full Service Carrier,Kyrgyzstan,Central Asia,,
Air Karnten,에어 카린시아,,,Failed startup,Regional/Commuter,Austria,Western Europe,,
Air Labrador,에어래브라도,WJ,,Grounded,Regional/Commuter,Canada,North America,,
Air Lanna,에어란나,,,Startup,Full Service Carrier,Thailand,South East Asia,,
Air LEAP,에어 리프트,FL,LPA,Active,Regional/Commuter,Norway,Western Europe,,
Air Leasing Cameroon,에어 카메룬,,,Active,Charter,Cameroon,Central/Western Africa,,
Air Lebanon,에어 레바논,,,Startup,Charter,Lebanon,Middle East,,
Air Leisure,에어레저,AL,ALD,Grounded,Low Cost Carrier,Egypt,North Africa,,
Air Liaison,에어 리에이존,,LSJ,Active,Regional/Commuter,Canada,North America,,
Air Libya,에어리비아,,TLR,Active,Charter,Libya,North Africa,,
