항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
Shaheen Air International,샤힌에어인터내셔널,,SAI,Grounded,Full Service Carrier,Pakistan,South Asia,,
Shandong Airlines,산동항공,SC,CDG,Active,Full Service Carrier,China,North East Asia,,
Shanghai Airlines,상해항공,FM,CSH,Active,Full Service Carrier,China,North East Asia,,
Sharp Airlines,샤프 항공,SH,,Active,Regional/Commuter,Australia,Southwest Pacific,,
Shenzhen Airlines,선전 항공,ZH,CSZ,Active,Full Service Carrier,China,North East Asia,,
Shenzhen Shenhui Airlines,선전 항공,,,Failed startup,Low Cost Carrier,China,North East Asia,,
Shoreline Aviation,쇼라인 항공,,CST,Grounded,Charter,United States of America,North America,,
Shovkoviy Shlyah,쇼프코비 술리야,,,Active,Charter,Ukraine,Eastern/Central Europe,,
Shree Airlines,슈리항공,N9,SHA,Active,Charter,Nepal,South Asia,,
Shuttle America,셔틀아메리카,S5,,Grounded,Regional/Commuter,United States of America,North America,,
Siam Air Transport,샴 운송 항공,O8,SQM,Active,Full Service Carrier,Thailand,South East Asia,,
SiamJet Airlines,샴제트항공,,,Startup,Regional/Commuter,Thailand,South East Asia,,
Sibirskaya Legkaya Aviatsiya (SiLA),실라항공,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Sibiya,시비야 항공,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Sichuan Airlines,사천항공,3U,CSC,Active,Full Service Carrier,China,North East Asia,,
Sichuan Shuanglong Airlines,쓰촨 솽롱 항공,,,Startup,Cargo,China,North East Asia,,
Sideral Air Cargo,시달에어카고,,SID,Active,Cargo,Brazil,Upper South America,,
Sierra Pacific Airlines,시에라 패시픽 항공,SI,SPA,Active,Charter,United States of America,North America,,
Silk Way Airlines,실크웨이항공,ZP,AZQ,Active,Cargo,Azerbaijan,Eastern/Central Europe,,
Silk Way East Airlines,실크웨이이스트항공,,,Startup,Cargo,Azerbaijan,Eastern/Central Europe,,
Silk Way Italia (SW Italia),실크웨이이탈리아 항공,IU,CSW,Active,Cargo,Italy,Western Europe,,
Silk Way West Airlines,실크웨이 웨스트 항공사,7L,AZG,Active,Cargo,Azerbaijan,Eastern/Central Europe,,
SilkAir,실크에어,MI,SLK,Active,Full Service Carrier,Singapore,South East Asia,,
Silver Air (Czech Republic),실버에어(체코),,SLD,Active,Regional/Commuter,Czech Republic,Eastern/Central Europe,,
Silver Airways,실버 에어웨이,3M,SIL,Active,Regional/Commuter,United States of America,North America,,
Silverback Cargo Freighters,실버백카고프레이터,,VRB,Grounded,Cargo,Rwanda,Eastern Africa,,
Silverstone Air Services,실버스톤에어서비스,K5,SLR,Active,Full Service Carrier,Kenya,Eastern Africa,,
Simargl,시마글 항공,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Simplifly,심플리플라이 항공,,,Active,Charter,Sri Lanka,South Asia,,
Simrik Airlines,시리크항공,,RMK,Active,Full Service Carrier,Nepal,South Asia,,
Simrik International Cargo Airlines,심릭 국제 화물항공,,,Startup,Cargo,Nepal,South Asia,,
Sindal Air Taxi,신달 에어택시,,,Active,Regional/Commuter,Denmark,Western Europe,,
Singapore Airlines,싱가포르항공,SQ,SIA,Active,Full Service Carrier,Singapore,South East Asia,,
Singapore Airlines Cargo,싱가포르항공,,,Active,Cargo,Singapore,South East Asia,,
SINO-LAC Airlines,SINO-LAC 항공,HQ,,Startup,Charter,China,North East Asia,,
Sirius-Aero,시리우스에어로,,CIG,Active,Charter,Russian Federation,Eastern/Central Europe,,
Sita Air,시타 항공,,,Active,Regional/Commuter,Nepal,South Asia,,
Skies Airlines,스카이 항공,,,Active,Charter,Sweden,Western Europe,,
Skippers Aviation,스키퍼 항공,HK,,Active,Regional/Commuter,Australia,Southwest Pacific,,
SKOL,스콜 항공,,CDV,Active,Charter,Russian Federation,Eastern/Central Europe,,
SKS Airways,SKS 항공,,,Startup,Charter,Malaysia,South East Asia,,
Sky Airline (Chile),스카이항공(칠레),H2,SKU,Active,Low Cost Carrier,Chile,Lower South America,,
Sky Airlines (Turkey),스카이항공(터키),,,Grounded,Charter,Turkey,Eastern/Central Europe,,
Sky Alps,스카이 알프스 항공,,,Startup,Virtual Carrier,Italy,Western Europe,,
Sky Angkor Airlines,스카이 앙코르 항공사,ZA,SWM,Active,Charter,Cambodia,South East Asia,,
Sky Aviation,스카이에비에이션,,,Active,Full Service Carrier,Indonesia,South East Asia,,
Sky Bishkek,스카이 비슈케크,GY,BIS,Grounded,Regional/Commuter,Kyrgyzstan,Central Asia,,
Sky Cana,스카이 카나,RD,SNA,Active,Virtual Carrier,Dominican Republic,Caribbean,,
Sky Express,스카이 익스프레스,GQ,SEH,Active,Regional/Commuter,Greece,Eastern/Central Europe,,
Sky Gabon,스카이 가봉,,SKG,Grounded,Cargo,Gabon,Central/Western Africa,,
Sky Gates Airlines,스카이게이트항공,U3,SAY,Active,Cargo,Russian Federation,Eastern/Central Europe,,
Sky Georgia,스카ㄹ이 조지아,QB,,Grounded,Full Service Carrier,Georgia,Eastern/Central Europe,,
Sky Greenland,스카이 그린랜드,,,Failed startup,Charter,Greenland,Western Europe,,
Sky High Aviation Services,스카이 하이 에비에이션 서비스,DO,SHH,Active,Regional/Commuter,Dominican Republic,Caribbean,,
Sky KG airlines,스카이 KG 항공,Y3,KGK,Active,Charter,Kyrgyzstan,Central Asia,,
SKY Linhas Aereas,스카이 라이너스 항공,,,Startup,Charter,Brazil,Upper South America,,
Sky Mali,스카이 말리,,FML,Active,Regional/Commuter,Mali,Central/Western Africa,,
Sky Palace Airways,스카이 피스항공,,,Startup,Full Service Carrier,United States of America,North America,,
SKY Peru,스카이 페루,H8,SKX,Active,Low Cost Carrier,Peru,Upper South America,,
Sky Prime,스카이 프라임,UY,SPD,Active,Charter,Saudi Arabia,Middle East,,
Sky Regional Airlines,스카이 리지널 항공,KV,SKV,Grounded,Regional/Commuter,Canada,North America,,
Sky Shuttle Helicopters Limited,스카이 셔틀 헬리콥터,,HHK,Active,Charter,Hong Kong,North East Asia,,
Sky Way Air,스카이웨이에어,,SAB,Active,Charter,Kyrgyzstan,Central Asia,,
Sky Wings Airlines,스카이 윙즈 항공,,,Grounded,Charter,Greece,Eastern/Central Europe,,
SkyAero (Kenya),스카이 항공(케냐),,,Grounded,Regional/Commuter,Kenya,Eastern Africa,,
SkyAir,스카이에어,S8,AHW,Active,Cargo,Bangladesh,South Asia,,
SkyBahamas,스카이바하마,Q7,SBM,Grounded,Regional/Commuter,Bahamas,Caribbean,,
SkyBird Airlines,스카이버드항공,,SBL,Startup,Charter,Egypt,North Africa,,
Skybus Jet Cargo,스카이버스 화물항공,,KYG,Active,Cargo,United States of America,North America,,
SkyBus JSC (Kazakhstan),스카이버스 JSC(카자흐스탄),,,Active,Charter,Kazakhstan,Central Asia,,
SkyExpress,스카이익스프레스,XW,,Grounded,Low Cost Carrier,Russian Federation,Eastern/Central Europe,,
Skyforce Aviation,스카이포스 항공,,,Grounded,Charter,Australia,Southwest Pacific,,
SkyGreece Airlines,스카이 그리스 항공,GW,,Grounded,Charter,Greece,Eastern/Central Europe,,
SkyJet Airlines,스카이제트 항공,M8,MSJ,Active,Full Service Carrier,Philippines,South East Asia,,
Skyjet Airways,스카이제트 항공,,,Failed startup,Full Service Carrier,India,South Asia,,
Skyjet Uganda,스카이제트 우간다,,SJU,Grounded,Full Service Carrier,Uganda,Eastern Africa,,
Skylar Airways,스카이라 항공,,,Startup,Charter,Thailand,South East Asia,,
Skylease Cargo,스카이리스카고,GG,KYE,Active,Cargo,United States of America,North America,,
SkyLine air services,스카이line 항공서비스,,,Active,Cargo,Germany,Western Europe,,
Skylux Avia,스카이룩스 항공,,,Active,Virtual Carrier,Ukraine,Eastern/Central Europe,,
Skymark Airlines,스카이마크 항공,BC,SKY,Active,Full Service Carrier,Japan,North East Asia,,
Skynet (Armenia),스카이네트(아르메니아),,SKJ,Active,Charter,Armenia,Eastern/Central Europe,,
Skyservice Business Aviation,스카이서비스 비즈니스 에비에이션,,SYB,Active,Charter,Canada,North America,,
Skytaxi,스카이택시(폴란드),TE,IGA,Active,Charter,Poland,Eastern/Central Europe,,
Skytraders,스카이 트레이드어,,SND,Active,Charter,Australia,Southwest Pacific,,
Skytrans,스카이트랜스,QN,SKP,Active,Regional/Commuter,Australia,Southwest Pacific,,
SkyUp,스카이업,PQ,SQP,Active,Low Cost Carrier,Ukraine,Eastern/Central Europe,,
SkyValue Airways,스카이밸류 항공,,,Grounded,Virtual Carrier,United States of America,North America,,
Skyward Express,스카이와드 익스프레스,OW,SEW,Active,Charter,Kenya,Eastern Africa,,
SKYWAY Costa Rica,스카이웨이 코스타리카,LC,GCS,Active,Full Service Carrier,Costa Rica,Central America,,
Skyways,스카이웨이즈 항공,JZ,,Grounded,Regional/Commuter,Sweden,Western Europe,,
SkyWest Airlines,스카이웨스트 항공,OO,SKW,Active,Regional/Commuter,United States of America,North America,,
Skywise,스카이와이즈,,SWZ,Grounded,Low Cost Carrier,South Africa,Southern Africa,,
SkyWork Airlines,스카이워크 항공,SX,,Grounded,Full Service Carrier,Switzerland,Western Europe,,
Slok Air,슬록 항공,S0,,Grounded,Full Service Carrier,Gambia,Central/Western Africa,,
Small Planet Airlines Cambodia,스몰플라넷 항공(캄보디아),RD,LKH,Grounded,Charter,Cambodia,South East Asia,,
Small Planet Airlines Germany,스몰플라넷 항공(독일),,,Grounded,Charter,Germany,Western Europe,,
Small Planet Airlines Lithuania,스몰플라넷 항공(리투아니아),S5,LLC,Grounded,Charter,Lithuania,Eastern/Central Europe,,
Small Planet Airlines Poland,스몰플라넷 항공(폴란드),P7,LLP,Grounded,Charter,Poland,Eastern/Central Europe,,
Smartavia,스마트 에비에이션,5N,AUL,Active,Regional/Commuter,Russian Federation,Eastern/Central Europe,,
SmartLynx Airlines,스마팅스 항공,6Y,ART,Active,Charter,Latvia,Eastern/Central Europe,,
Smartlynx Airlines Estonia,스마팅스 항공 에스토니아,,MYX,Active,Charter,Estonia,Eastern/Central Europe,,
Smartlynx Malta,스마팅스 말타,,,Active,Charter,Malta,Western Europe,,
SmartWings,스마트윙스,QS,TVS,Active,Full Service Carrier,Czech Republic,Eastern/Central Europe,,
SmartWings Germany,스마트윙즈 독일,,,Failed startup,Charter,Germany,Western Europe,,
SmartWings Hungary,스마트윙스 헝가리,7O,TVL,Active,Charter,Hungary,Eastern/Central Europe,,
SmartWings Polska,스마트윙스 폴란드,3Z,TVP,Active,Charter,Poland,Eastern/Central Europe,,
SmartWings Slovakia,스마트윙스 슬로바키아,6D,TVQ,Active,Charter,Slovakia,Eastern/Central Europe,,
Smile Air,스미스에어,,,Startup,Full Service Carrier,Ghana,Central/Western Africa,,
Smokey Bay Air,스모키베이 에어,2E,,Active,Regional/Commuter,United States of America,North America,,
Snowbird Airlines,스노우버드 항공,,,Active,Charter,Finland,Western Europe,,
Societe Nouvelle Air Congo,뉴에어콩고,,,Active,Full Service Carrier,Democratic Republic of the Congo,Central/Western Africa,,
SOL,SOL,8R,,Grounded,Regional/Commuter,Argentina,Lower South America,,
Sol del Paraguay Lineas Aereas,솔 파라과이,,SGU,Active,Full Service Carrier,Paraguay,Lower South America,,
Sol Linhas Aereas,솔 항공,,,Grounded,Charter,Brazil,Upper South America,,
Solaris Airlines,솔라리스 항공,,,Failed startup,Charter,Russian Federation,Eastern/Central Europe,,
Solaseed Air,솔라시드 에어 ,6J,SNJ,Active,Full Service Carrier,Japan,North East Asia,,
Solenta Aviation,솔런트 에비에이션,,SET,Active,Charter,South Africa,Southern Africa,,
Solenta Aviation Gabon,솔렌타 에비에이션 가봉,,SVG,Active,Charter,Gabon,Central/Western Africa,,
Solenta Aviation Mozambique,솔렌타 에비에이션 모잠비크,FW,,Active,Charter,Mozambique,Southern Africa,,
Solinair,솔리네어,SP,SOP,Active,Cargo,Slovenia,Eastern/Central Europe,,
Solitaire Air,솔리테어 항공,,,Grounded,Charter,Jordan,Middle East,,
Solomon Airlines,솔로몬항공,IE,SOL,Active,Full Service Carrier,Solomon Islands,Southwest Pacific,,
Somali Airlines,소말리항공,,,Grounded,Full Service Carrier,Somalia,Eastern Africa,,
Somon Air,솜몬에어,SZ,SMR,Active,Full Service Carrier,Tajikistan,Central Asia,,
Sonair,손에어,,SOR,Active,Charter,Angola,Southern Africa,,
Songbird Airlines,송버드 항공,,SGB,Active,Charter,United States of America,North America,,
Sophia Airlines,소피아 항공,,,Active,Charter,Cote d'Ivoire,Central/Western Africa,,
South African Airways,남아프리카항공,SA,SAA,Active,Full Service Carrier,South Africa,Southern Africa,,
South Airlines,사우스항공,,OTL,Grounded,Regional/Commuter,Ukraine,Eastern/Central Europe,,
South Airlines (Armenia),사우스항공(아르메니아),,,Grounded,Charter,Armenia,Eastern/Central Europe,,
South Sudan Airways,남수단 항공,,,Startup,Full Service Carrier,South Sudan,North Africa,,
South Supreme Airlines,사우스 수프림 항공,,,Grounded,Regional/Commuter,South Sudan,North Africa,,
South West Air,사우스웨스트 항공,,,Grounded,Charter,Papua New Guinea,Southwest Pacific,,
Southeast Airlines,사우스이스트 항공,,,Grounded,Low Cost Carrier,Kenya,Eastern Africa,,
Southern Air Charter,서던에어챠터,PL,SOA,Active,Regional/Commuter,Bahamas,Caribbean,,
Southern Air Inc.,서던에어,9S,SOO,Active,Cargo,United States of America,North America,,
Southern Airways Express,서던 항공사 익스프레스,9X,,Active,Regional/Commuter,United States of America,North America,,
Southern Sky Airlines,서던 스카이 항공,IH,SRS,Active,Regional/Commuter,Kazakhstan,Central Asia,,
Southern Star Airlines,중국 남방항공,,,Grounded,,Sudan,North Africa,,
Southwest Airlines,사우스웨스트항공,WN,SWA,Active,Low Cost Carrier,United States of America,North America,,
Sovika Aviation Services,소비카 항공 서비스,,,Active,Cargo,India,South Asia,,
Spanair,스팬에어,JK,JKK,Grounded,Full Service Carrier,Spain,Western Europe,,
Spark Avia,스파크 아비아,,,Grounded,Charter,Russian Federation,Eastern/Central Europe,,
Sparrow Aviation,스패로우 항공,,,Active,Regional/Commuter,Sweden,Western Europe,,
SpiceJet,스파이스제트,SG,SEJ,Active,Low Cost Carrier,India,South Asia,,
SpiceXpress,스파이스 익스프레스,SG,,Active,Cargo,India,South Asia,,
Spirit Airlines,스피릿항공,NK,NKS,Active,Low Cost Carrier,United States of America,North America,,
Spirit of Manila Airlines,스피릿 오브 마닐라항공,,,Grounded,Low Cost Carrier,Philippines,South East Asia,,
Spring Airlines,춘추 항공,9C,CQH,Active,Low Cost Carrier,China,North East Asia,,
Spring Airlines Japan,스프링 항공 일본,IJ,SJO,Active,Low Cost Carrier,Japan,North East Asia,,
SprintAir,스프린트에어,P8,SRN,Active,Regional/Commuter,Poland,Eastern/Central Europe,,
SriLankan Airlines,스리랑카항공,UL,ALK,Active,Full Service Carrier,Sri Lanka,South Asia,,
SriLankan AirTaxi,스리랑카 에어택시,,,Active,Regional/Commuter,Sri Lanka,South Asia,,
Sriwijaya Air,수르위자야 항공,SJ,SJY,Active,Full Service Carrier,Indonesia,South East Asia,,
Stabo Air,스타보에어,4E,SBO,Active,Cargo,Zambia,Southern Africa,,
Star Air (India),스타에어(인도),OG,SDG,Active,Full Service Carrier,India,South Asia,,
Star Air Aviation,스타 에어 에비에이션,,URJ,Active,Cargo,Pakistan,South Asia,,
Star Air Cargo,스타 에어카고,,BRH,Active,Cargo,South Africa,Southern Africa,,
Star Airways,스타 에어웨이,4S,,Grounded,Charter,Albania,Eastern/Central Europe,,
Star Aviation,스타항공,,DST,Active,Charter,Algeria,North Africa,,
Star East Airline,스타이스트항공,4R,SEK,Active,Charter,Romania,Eastern/Central Europe,,
Star Equatorial Airlines,스타 적도항공,2S,,Grounded,Regional/Commuter,Equatorial Guinea,Central/Western Africa,,
Star Peru,스타페루,2I,SRU,Active,Regional/Commuter,Peru,Upper South America,,
Star1,스타1 항공,V9,,Grounded,Low Cost Carrier,Lithuania,Eastern/Central Europe,,
Starbow Airlines,스타보우 항공사,S9,,Grounded,Regional/Commuter,Ghana,Central/Western Africa,,
StarFlyer,스타플라이어,7G,SFJ,Active,Full Service Carrier,Japan,North East Asia,,
Starlight Airlines,스타라이트 항공,QP,SLT,Active,Cargo,United Arab Emirates,Middle East,,
Starlink Aviation,스타링크 에비에이션,,TLK,Active,Regional/Commuter,Canada,North America,,
STARLUX Airlines,스타럭스 항공,JX,SJX,Active,Full Service Carrier,Taiwan,North East Asia,,
Stars Away Aviation,스타스어웨이항공,,STX,Grounded,Charter,South Africa,Southern Africa,,
Sterna Linhas Aereas,스테나 항공,,STR,Active,Cargo,Brazil,Upper South America,,
Stobart Air,스토바트 항공,RE,STK,Grounded,Regional/Commuter,Ireland,Western Europe,,
STP Airways,STP 에어웨이,8F,STP,Active,Full Service Carrier,Sao Tome and Principe,Central/Western Africa,,
Suburban Air Freight,서버반에어플라이트,,SUB,Active,Cargo,United States of America,North America,,
Suckling Airways,서클링 에어웨이즈,,,Active,Charter,United Kingdom,Western Europe,,
Sudamericana de Aviacion,남미 항공,,,Failed startup,Charter,Ecuador,Upper South America,,
Sudan Airways,수단항공,SD,SUD,Active,Full Service Carrier,Sudan,North Africa,,
Sudanese States Aviation,수단국영항공,,SNV,Grounded,Cargo,Sudan,North Africa,,
Suhura Airways,수후라 항공,,,Active,Charter,Somalia,Eastern Africa,,
Summit Air,서미트 항공,,,Active,Full Service Carrier,Nepal,South Asia,,
Summit Air Charters,서미트 전세항공,,,Active,Charter,Canada,North America,,
Sun Air (Sudan),수단 선에어,,SNR,Active,Regional/Commuter,Sudan,North Africa,,
Sun Country,선 칸츄리 항공,SY,SCX,Active,Low Cost Carrier,United States of America,North America,,
Sun dOr International Airlines,선도르인터내셔널항공,2U,,Active,Full Service Carrier,Israel,Middle East,,
SUN-AIR of Scandinavia,선에어 스칸디나비아,EZ,SUS,Active,Charter,Denmark,Western Europe,,
Sunair Aviation,선에어 항공,,,Active,Regional/Commuter,New Zealand,Southwest Pacific,,
SunClass Airlines,선클래스 항공,DK,VKG,Active,Charter,Denmark,Western Europe,,
Sundair,선데어,SR,SDR,Active,Charter,Germany,Western Europe,,
Sunday Airlines,선데이 항공,,,Active,Charter,Kazakhstan,Central Asia,,
Sundsvallsflyg,순스발스플라이그,,,Grounded,Regional/Commuter,Sweden,Western Europe,,
SunExpress,선익스프레스,XQ,SXS,Active,Full Service Carrier,Turkey,Eastern/Central Europe,,
SunExpress Germany,선익스프레스 독일,XG,SXD,Grounded,Full Service Carrier,Germany,Western Europe,,
Sunkar Air,선카에어,S3,KAM,Active,,Kazakhstan,Central Asia,,
Sunny Airways,써니항공,,,Grounded,Charter,Thailand,South East Asia,,
Sunrise Airways,선라이즈 에어웨이,S6,KSZ,Active,Virtual Carrier,Haiti,Caribbean,,
Sunsplash Aviation LLC,선플래시 에비에이션,YH,,Active,Charter,United States of America,North America,,
Sunstate Airlines,선스테이트 항공,,SSQ,Active,Regional/Commuter,Australia,Southwest Pacific,,
Sunwing Airlines,선윙항공,WG,SWG,Active,Low Cost Carrier,Canada,North America,,
Suparna Airlines,수파르나 항공,Y8,YZR,Active,Full Service Carrier,China,North East Asia,,
Superior Airways Ltd,수페리어 항공,,,Active,Charter,Canada,North America,,
Surf Air,서퍼에어,,URF,Active,Virtual Carrier,United States of America,North America,,
Surf Air Europe,서퍼 에어 유럽,,,Grounded,Virtual Carrier,United Kingdom,Western Europe,,
Surinam Airways,수리남항공,PY,SLM,Active,Full Service Carrier,Suriname,Upper South America,,
Susi Air,수시 항공,,SQS,Active,Charter,Indonesia,South East Asia,,
Sutong Airlines,쑤통 항공,,,Failed startup,Regional/Commuter,China,North East Asia,,
Sverigeflyg,스베리게플라이,,,Grounded,Regional/Commuter,Sweden,Western Europe,,
Swala Aviation,스왈라 항공,,,Active,Charter,Republic of the Congo,Central/Western Africa,,
Swazi Airways,스와지 항공,,,Failed startup,Full Service Carrier,eSwatini,Southern Africa,,
Swaziland Airlink,스와질랜드 에어링크,,,Active,Regional/Commuter,eSwatini,Southern Africa,,
Swiftair,스위프트에어,WT,SWT,Active,Charter,Spain,Western Europe,,
SWISS,스위스항공,LX,SWR,Active,Full Service Carrier,Switzerland,Western Europe,,
Swiss Global airlines,스위스 글로벌 항공,LZ,,Grounded,Regional/Commuter,Switzerland,Western Europe,,
Swoop,스웁,WO,WSW,Active,Low Cost Carrier,Canada,North America,,
SXM Airways,SXM 항공,,,Active,Charter,Saint Martin,Caribbean,,
Sylt Air,실트에어,7E,AWU,Active,Regional/Commuter,Germany,Western Europe,,
Syphax Airlines,사이팩스 항공,SO,SYA,Active,Full Service Carrier,Tunisia,North Africa,,
Syrian Airlines,시리아 항공,RB,SYR,Active,Full Service Carrier,Syria,Middle East,,
Syrian Pearl Airways,시리안 펄 항공,,,Grounded,Charter,Syria,Middle East,,
Solyom Hungarian Airways,팔콘 헝가리 항공,,HUN,Failed startup,Full Service Carrier,Hungary,Eastern/Central Europe,,
Tway Air ,티웨이항공,TW,TWB,Active,Low Cost Carrier,South Korea,North East Asia,,
TAAG,TAAG 항공,DT,DTA,Active,Full Service Carrier,Angola,Southern Africa,,
Taban Air,타반항공,HH,TBN,Active,Full Service Carrier,Iran,Middle East,,
TACA Peru,TACA 페루,T0,,Active,Cargo,Peru,Upper South America,,
TAF Linhas Aereas,TAF 항공,,TSD,Grounded,Full Service Carrier,Brazil,Upper South America,,
Taftan Air,타프탄항공,,SBT,Active,Charter,Iran,Middle East,,
Tahiti Air Charter,타히티 전세항공,,,Active,Charter,French Polynesia,Southwest Pacific,,
Tahiti Seaplanes,타히티 수상항공,,,Startup,Charter,French Polynesia,Southwest Pacific,,
Tajik Air,타지크 에어,7J,TJK,Active,Full Service Carrier,Tajikistan,Central Asia,,
Take Air,테이크 항공,,,Active,Regional/Commuter,Belgium,Western Europe,,
Talofa Airways Limited,탈로파 항공,,,Active,Full Service Carrier,Samoa,Southwest Pacific,,
TAME,TAME 항공,EQ,TAE,Grounded,Full Service Carrier,Ecuador,Upper South America,,
Tanana Air Service,타나나에어서비스,Z3,TNR,Active,Regional/Commuter,United States of America,North America,,
TAP Air Portugal,TAP 포르투갈 항공,TP,TAP,Active,Full Service Carrier,Portugal,Western Europe,,
TAP Express,TAP 익스프레스,,,Active,Regional/Commuter,Portugal,Western Europe,,
Taquan Air,타콴에어,K3,TQN,Active,Regional/Commuter,United States of America,North America,,
TAR Aerolineas,타 항공사,YQ,LCT,Active,Regional/Commuter,Mexico,Central America,,
Tara Air,타라항공,,,Active,Regional/Commuter,Nepal,South Asia,,
Tarco Aviation,타코항공,3T,TQQ,Active,Charter,Sudan,North Africa,,
TAROM,TAROM 항공,RO,ROT,Active,Full Service Carrier,Romania,Eastern/Central Europe,,
Taron Avia,타론아비아,H7,,Grounded,Charter,Armenia,Eastern/Central Europe,,
Tasair,태서 항공,TA,,Grounded,Regional/Commuter,Australia,Southwest Pacific,,
Tasman Cargo Airlines,타즈만 카고 항공,HJ,AXF,Active,Cargo,Australia,Southwest Pacific,,
Tassili Airlines,타실리 항공,SF,DTH,Active,Regional/Commuter,Algeria,North Africa,,
Tatarstan,타타르스탄 항공,U9,,Grounded,Full Service Carrier,Russian Federation,Eastern/Central Europe,,
Tatra Jet s.r.o.,타트레제트,,TTJ,Active,Charter,Slovakia,Eastern/Central Europe,,
Tausani Airlines,타우사니 항공,,,Startup,Regional/Commuter,American Samoa,Southwest Pacific,,
Tbilaviamsheni Georgia,트빌라비암세니그루지야,L6,,Active,Charter,Georgia,Eastern/Central Europe,,
Tbilisi Airlines,트빌리시 항공,,,Startup,,Georgia,Eastern/Central Europe,,
Tchadia Airlines,차디아 항공,OT,CDO,Active,Full Service Carrier,Chad,Central/Western Africa,,
TEAM,TEAM 항공,,TIM,Grounded,Charter,Brazil,Upper South America,,
Tehran Airlines,테헤란항공,,THR,Startup,Full Service Carrier,Iran,Middle East,,
Ten Airways,텐에어웨이즈,X5,,Grounded,Charter,Romania,Eastern/Central Europe,,
Tenir Airlines,테이너항공,,,Grounded,Charter,Kyrgyzstan,Central Asia,,
Texas Sky Airways,텍사스 스카이 항공,,,Active,Regional/Commuter,United States of America,North America,,
Texel Air,텍셀에어,,XLR,Active,Cargo,Bahrain,Middle East,,
Tez Jet Airlines,테즈제트 항공,,TEZ,Active,Regional/Commuter,Kyrgyzstan,Central Asia,,
Thai AirAsia,타이 에어아시아,FD,AIQ,Active,Low Cost Carrier,Thailand,South East Asia,,
Thai AirAsia X,타이 에어아시아 X,XJ,TAX,Active,Low Cost Carrier,Thailand,South East Asia,,
Thai Airways,타이 항공,TG,THA,Active,Full Service Carrier,Thailand,South East Asia,,
Thai Eastar Jet,타이 이스타제트,ZT,ESS,Startup,Low Cost Carrier,Thailand,South East Asia,,
Thai Express Air,타이익스프레스에어,,TXZ,Active,Cargo,Thailand,South East Asia,,
Thai Lion Air,타이 라이온 에어,SL,TLM,Active,Low Cost Carrier,Thailand,South East Asia,,
Thai Smile,타이스마일,WE,THD,Active,Full Service Carrier,Thailand,South East Asia,,
Thai Summer Airways,타리 서머 에어웨이즈,,,Startup,Low Cost Carrier,Thailand,South East Asia,,
Thai VietJet Air,타이 비엣젯 에어,VZ,TVJ,Active,Low Cost Carrier,Thailand,South East Asia,,
The Cargo Airlines,카고항공,,TZS,Active,Cargo,Georgia,Eastern/Central Europe,,
Thomas Cook Airlines,토마스쿡 항공,MT,TCX,Grounded,Charter,United Kingdom,Western Europe,,
Thomas Cook Airlines Balearics,토마스쿡 항공 Balearics,H5,CTB,Grounded,Charter,Spain,Western Europe,,
Thomas Cook Airlines Belgium,토마스쿡 항공 (벨기에),,,Grounded,Charter,Belgium,Western Europe,,
Tianjin Airlines,천진항공 ,GS,GCR,Active,Full Service Carrier,China,North East Asia,,
Tianjin Cargo Airlines,천진카고항공,HT,CTJ,Active,Cargo,China,North East Asia,,
Tiara Air Aruba,티아라에어 아루바,3P,,Grounded,Regional/Commuter,Aruba,Caribbean,,
Tibet Airlines,티베트항공,TV,TBA,Active,Full Service Carrier,China,North East Asia,,
Ticos Air,타이코스 항공,,,Failed startup,Full Service Carrier,Costa Rica,Central America,,
Tigerair,타이거에어,,,Grounded,Low Cost Carrier,Singapore,South East Asia,,
Tigerair Australia,타이거에어 오스트레일리아,TT,TGG,Grounded,Low Cost Carrier,Australia,Southwest Pacific,,
Tigerair Mandala,타이거에어 만다라항공,RI,,Grounded,Low Cost Carrier,Indonesia,South East Asia,,
Tigerair Taiwan,타이거에어 대만,IT,TTW,Active,Low Cost Carrier,Taiwan,North East Asia,,
Tiko Air,티코 항공,,,Active,Charter,Madagascar,Southern Africa,,
Titan Airways,타이탄에어웨이,ZT,AWC,Active,Charter,United Kingdom,Western Europe,,
TMA Cargo,TMA 화물항공,,TMA,Grounded,Cargo,Lebanon,Middle East,,
TMK Air Commuter,TMK 에어 커뮤터,,,Grounded,Charter,Democratic Republic of the Congo,Central/Western Africa,,
TNT,TNT 항공,,,Grounded,Cargo,Belgium,Western Europe,,
Toki Air,토키 항공,,,Startup,Low Cost Carrier,Japan,North East Asia,,
Toll Aviation,톨 에비에이션,,TFX,Active,Charter,Australia,Southwest Pacific,,
Tom,Tom 항공,,,Failed startup,Full Service Carrier,Russian Federation,Eastern/Central Europe,,
Tomsk Avia,톰스크 항공,,,Grounded,Charter,Russian Federation,Eastern/Central Europe,,
Tonga Airways,통가 항공,,,Failed startup,Charter,Tonga,Southwest Pacific,,
TonleSap Airlines,톤삽 항공,,,Grounded,Charter,Cambodia,South East Asia,,
TopJets Worldwide,전세계 Topjets 항공,,,Active,Charter,Italy,Western Europe,,
Tor Air,토르 에어,OD,,Grounded,Charter,Sweden,Western Europe,,
